FID_grid_v,NRI,genus.age,mean.age,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation,BIO1,BIO1k,BIO2,BIO4,bio_5new,bio_6new,Bio5K,Bio6K,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17
103,-0.116205743,NA,NA,0.861,0.465,0,95,32.265364,119.567451,3,288.55,302.005,7.9,92.51,322,-11,305.35,272.05,300.15,276.75,1025,197,32,58,479,112
104,0.406211668,NA,NA,1,0.144,0,31,31.807689,121.111439,-9999,-726.75,200.475,-999.9,-99.99,,,273.15,273.15,-726.75,-726.75,-9999,-9999,-9999,-9999,-9999,-9999
105,0.466110759,NA,NA,0.868,0.764,0.875,76,31.89781,79.033167,5184,268.75,300.025,12,75.52,116,-220,284.75,251.15,278.55,259.25,397,87,8,68,204,44
106,0.186290801,NA,NA,0.79,0,0.682,26,32.425148,80.422353,4887,269.95,300.145,14.8,85.43,165,-223,289.65,250.85,281.35,259.45,144,43,3,98,92,14
107,0.349300844,NA,NA,1,0,0,21,32.846196,82.515099,4703,271.05,300.255,14.3,80.09,161,-202,289.25,252.95,281.45,260.95,151,40,1,88,88,12
108,0.462461426,NA,NA,0.5,0.045,0.345,21,33.226018,84.641081,5129,268.25,299.975,14.1,79.95,130,-231,286.15,250.05,278.55,258.15,138,39,1,101,89,8
109,NA,NA,NA,NA,NA,NA,NA,33.568335,86.786168,5089,268.05,299.955,14,80.95,127,-238,285.85,249.35,278.35,257.65,157,47,1,112,111,6
110,0.050202099,NA,NA,1,0,0,28,33.872723,88.94859,5256,266.45,299.795,13.9,81.4,110,-255,284.15,247.65,276.85,256.15,197,60,1,120,144,4
111,0.388029648,NA,NA,1,0.192,0,22,34.138792,91.126483,4923,267.65,299.915,14.7,82.3,120,-253,285.15,247.85,278.05,257.15,249,75,0,120,179,2
112,0.431945069,NA,NA,1,0.377,0.096,68,34.366195,93.317898,4571,269.35,300.085,14.5,81.41,135,-236,286.65,249.55,279.45,258.85,312,85,1,109,211,5
113,0.462728719,NA,NA,0.91,0.373,0.101,57,34.554624,95.520806,4292,270.35,300.185,14.3,83.13,145,-233,287.65,249.85,280.55,259.45,338,80,2,98,209,8
114,0.504125322,NA,NA,0.921,0.475,0.448,68,34.703824,97.733116,4334,270.15,300.165,13.8,81.75,139,-232,287.05,249.95,280.05,259.25,356,79,3,93,214,11
115,0.356351273,20.07,13.74,0.947,0.588,0.482,230,34.813587,99.952678,3797,271.75,300.325,14.9,83.54,159,-233,289.05,249.85,281.55,260.35,446,93,2,90,256,9
116,0.488944696,22.36,12.85,0.9,0.686,0.439,339,34.883758,102.1773,3739,272.65,300.415,14.5,71.89,147,-216,287.85,251.55,281.35,262.85,617,125,2,88,342,12
117,0.631666147,23.31,11.8,0.967,0.813,0.773,370,34.914239,104.404761,2330,279.35,301.085,10.7,77.95,222,-114,295.35,261.75,289.05,268.75,556,104,3,80,290,12
118,0.330817781,22.14,11.53,0.926,0.609,0.613,170,34.904986,106.632821,1583,282.15,301.365,10.1,85.91,262,-87,299.35,264.45,292.95,270.55,633,120,4,81,355,14
119,0.57609211,21.64,11.28,0.953,0.828,0.872,353,34.856011,108.859237,738,286.45,301.795,10.3,99.19,320,-65,305.15,266.65,299.05,273.25,549,118,5,79,300,18
120,0.526608234,22.93,11.61,0.978,0.721,0.852,367,34.767386,111.081778,352,287.05,301.855,11.1,99.66,319,-68,305.05,266.35,299.55,273.55,483,102,6,77,260,20
121,-0.028676416,24.07,10.76,0.976,0.789,0.743,107,34.639234,113.298232,385,286.25,301.775,11.3,94.78,308,-65,303.95,266.65,298.15,273.45,682,155,9,79,371,32
122,0.472346426,NA,NA,1,0.135,0,10,34.471735,115.506428,51,287.65,301.915,10.7,96.68,323,-49,305.45,268.25,299.85,274.75,694,186,13,87,391,42
123,0.242645002,NA,NA,0.791,0.624,0.61,53,34.26512,117.70424,24,287.85,301.935,9.8,96.23,317,-40,304.85,269.15,299.95,274.95,715,192,14,91,439,51
124,0.182093765,NA,NA,1,0,0.59,25,33.844805,119.603353,1,287.35,301.885,8.5,91.84,304,-32,303.55,269.95,298.85,275.25,789,187,25,77,434,79
125,0.319868106,NA,NA,0.93,0.63,0.835,45,34.147321,79.897767,6243,261.05,299.255,13.1,90.4,73,-320,280.45,241.15,272.85,249.75,100,31,2,103,63,7
126,0.393243394,NA,NA,0.932,0.63,0.835,45,34.572565,82.016924,5278,266.15,299.765,14.4,91.29,131,-272,286.25,245.95,278.05,254.55,70,22,1,109,47,5
127,NA,NA,NA,NA,NA,,NA,34.960028,84.187093,5248,265.85,299.735,14.3,88.8,121,-270,285.25,246.15,277.25,254.35,92,27,0,113,65,3
128,NA,NA,NA,NA,NA,,NA,35.30936,86.377633,4924,267.05,299.855,14.3,88.16,129,-259,286.05,247.25,278.15,255.55,113,35,0,115,83,2
129,0.069534715,NA,NA,1,0,0,28,35.620088,88.586673,4978,266.25,299.775,14.2,86,117,-265,284.85,246.65,277.15,255.15,143,45,0,121,105,2
130,0.373372675,NA,NA,1,0.377,0.096,68,35.89178,90.812234,5494,263.15,299.465,14.1,81.83,81,-287,281.25,244.45,273.55,252.85,189,57,0,115,136,2
131,0.422304871,NA,NA,1,0.192,0,22,36.124048,93.052243,4736,267.05,299.855,14.2,82.65,118,-253,284.95,247.85,277.45,256.45,182,51,1,108,126,3
132,0.462688411,NA,NA,1,0.192,0,22,36.316553,95.304541,3051,276.65,300.815,14.9,93.95,228,-187,295.95,254.45,288.25,264.15,81,18,1,91,50,3
133,0.50641585,NA,NA,0,0.545,0.35,37,36.469007,97.566892,2839,278.15,300.965,14.2,91.29,242,-162,297.35,256.95,289.35,265.85,264,61,4,83,154,15
134,0.53367085,NA,NA,0.957,0.529,0.466,114,36.581179,99.837004,3911,270.15,300.165,13.5,83.46,139,-237,287.05,249.45,280.25,258.95,340,78,1,97,212,6
135,0.358781501,24.5,13.82,0.955,0.823,0.584,360,36.652898,102.11253,2426,278.55,301.005,13.4,84.24,228,-156,295.95,257.55,288.75,266.85,407,87,2,91,233,7
136,0.61994339,23.4,11.13,0.839,0.678,0.427,239,36.684053,104.391095,1685,281.85,301.335,13.2,101.01,283,-140,301.45,259.15,294.05,267.85,216,58,1,95,133,5
137,0.488309049,NA,NA,0.6,0.595,0.134,68,36.674595,106.670301,1833,279.75,301.125,11.8,93.44,254,-135,298.55,259.65,291.25,266.95,403,95,2,89,237,9
138,0.364942294,NA,NA,0.8,0.835,0.715,71,36.624539,108.947749,1467,281.05,301.255,11.8,96.2,265,-130,299.65,260.15,292.95,267.95,480,108,3,90,286,10
139,0.29738557,21.2,9.93,0.644,0.446,0.162,137,36.533962,111.221047,1575,279.95,301.145,11.4,95.39,249,-137,298.05,259.45,291.75,266.85,555,128,4,88,327,15
